"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.12.2024","40,19","38,95","40,43","38,77","192,44M","3,32%"
"01.11.2024","38,90","36,20","39,86","35,03","686,01M","8,33%"
"01.10.2024","35,91","36,01","38,38","35,34","647,37M","-0,28%"
"01.09.2024","36,01","36,01","36,01","36,01","667,88M","-8,53%"
"01.08.2024","39,37","36,71","39,86","33,64","878,34M","8,25%"
"01.07.2024","36,37","37,25","38,02","35,38","637,90M","-1,70%"
"01.06.2024","37,00","36,71","37,11","33,21","691,80M","0,90%"
"01.05.2024","36,67","38,33","39,79","34,42","875,32M","-6,48%"
"01.04.2024","39,21","34,08","39,39","33,78","1,06B","15,49%"
"01.03.2024","33,95","36,67","37,21","31,90","1,06B","-15,42%"
"01.02.2024","40,14","40,78","42,94","39,83","716,54M","-0,77%"
"01.01.2024","40,45","37,44","41,24","37,23","719,54M","8,62%"
"01.12.2023","37,24","35,72","37,43","33,04","753,47M","3,70%"
"01.11.2023","35,91","33,73","36,03","32,66","992,20M","3,37%"
"01.10.2023","34,74","34,55","38,86","32,29","1,18B","0,29%"
"01.09.2023","34,64","32,21","34,71","31,96","889,76M","8,45%"
"01.08.2023","31,94","29,95","32,79","28,63","1,23B","2,67%"
"01.07.2023","31,11","29,72","31,22","27,95","967,22M","5,35%"
"01.06.2023","29,53","24,68","32,00","24,55","1,46B","20,46%"
"01.05.2023","24,51","22,24","25,37","21,04","1,44B","10,21%"
"01.04.2023","22,24","20,23","23,20","19,54","1,13B","12,95%"
"01.03.2023","19,69","21,26","22,03","18,88","1,49B","-7,09%"
"01.02.2023","21,20","21,89","22,73","20,51","1,12B","-3,18%"
"01.01.2023","21,89","19,77","23,18","18,33","1,48B","6,41%"
